sample, loss, baseline, augmentation, metric,obamacare,gay-marriage,drug-policy,corporate-tax,climate-change
bigram_inner,mlm,trust,duplicate,cluster_performance,4.22,4.64,4.26,5.48,6.12
bigram_inner,mlm,trust,duplicate,allsides_rank_similarity,0.39,0.19,0.3,0.31,0.13
bigram_inner,mlm,trust,duplicate,pew_rank_similarity,0.31,0.18,0.22,0.28,0.16
bigram_inner,mlm,trust,sentence_replacement,cluster_performance,3.64,4.23,5.48,6.2
bigram_inner,mlm,trust,sentence_replacement,allsides_rank_similarity,0.41,0.26,0.26,0.09
bigram_inner,mlm,trust,sentence_replacement,pew_rank_similarity,0.34,0.25,0.22,0.1
bigram_inner,mlm,trust,sentence_order_replacement,cluster_performance,5.25,6.22,4.57,4.15,6.06
bigram_inner,mlm,trust,sentence_order_replacement,allsides_rank_similarity,0.41,0.18,0.26,0.27,0.1
bigram_inner,mlm,trust,sentence_order_replacement,pew_rank_similarity,0.36,0.2,0.17,0.22,0.16
bigram_inner,mlm,trust,span_cutoff,cluster_performance,4.85,4.66,4.09,4.34,5.43
bigram_inner,mlm,trust,span_cutoff,allsides_rank_similarity,0.42,0.23,0.3,0.3,0.11
bigram_inner,mlm,trust,span_cutoff,pew_rank_similarity,0.31,0.2,0.21,0.24,0.12
bigram_inner,mlm,trust,no_augmentation,cluster_performance,5.54,4.57,4.04,3.99,5.86
bigram_inner,mlm,trust,no_augmentation,allsides_rank_similarity,0.38,0.12,0.26,0.23,0.12
bigram_inner,mlm,trust,no_augmentation,pew_rank_similarity,0.27,0.17,0.22,0.28,0.16
bigram_inner,mlm,trust,word_order_replacement,cluster_performance,5.25,4.66,4.73,4.35,5.81
bigram_inner,mlm,trust,word_order_replacement,allsides_rank_similarity,0.35,0.15,0.22,0.23,0.08
bigram_inner,mlm,trust,word_order_replacement,pew_rank_similarity,0.28,0.18,0.15,0.18,0.06
bigram_inner,mlm,trust,word_replacement,cluster_performance,4.65,4.68,4.36,4.72,5.42
bigram_inner,mlm,trust,word_replacement,allsides_rank_similarity,0.43,0.21,0.27,0.26,0.1
bigram_inner,mlm,trust,word_replacement,pew_rank_similarity,0.35,0.21,0.2,0.26,0.15
bigram_inner,mlm,source,sentence_replacement,cluster_performance,3.58,4.4,5.65,6.26
bigram_inner,mlm,source,sentence_replacement,allsides_rank_similarity,0.41,0.26,0.26,0.09
bigram_inner,mlm,source,sentence_replacement,pew_rank_similarity,0.39,0.25,0.24,0.08
bigram_inner,mlm,source,span_cutoff,cluster_performance,4.85,4.78,4.18,4.43,5.59
bigram_inner,mlm,source,span_cutoff,allsides_rank_similarity,0.42,0.23,0.3,0.3,0.11
bigram_inner,mlm,source,span_cutoff,pew_rank_similarity,0.35,0.22,0.2,0.26,0.08
bigram_inner,mlm,source,no_augmentation,cluster_performance,5.53,4.69,4.15,4.14,5.94
bigram_inner,mlm,source,no_augmentation,allsides_rank_similarity,0.38,0.12,0.26,0.23,0.12
bigram_inner,mlm,source,no_augmentation,pew_rank_similarity,0.28,0.16,0.24,0.27,0.12
bigram_inner,mlm,source,duplicate,cluster_performance,4.22,4.76,4.35,5.65,6.21
bigram_inner,mlm,source,duplicate,allsides_rank_similarity,0.39,0.19,0.3,0.31,0.13
bigram_inner,mlm,source,duplicate,pew_rank_similarity,0.33,0.19,0.23,0.28,0.12
bigram_inner,mlm,source,word_replacement,cluster_performance,4.66,4.81,4.44,4.85,5.59
bigram_inner,mlm,source,word_replacement,allsides_rank_similarity,0.43,0.21,0.27,0.26,0.1
bigram_inner,mlm,source,word_replacement,pew_rank_similarity,0.36,0.2,0.2,0.28,0.13
bigram_inner,mlm,source,sentence_order_replacement,cluster_performance,5.26,6.41,4.68,4.33,6.22
bigram_inner,mlm,source,sentence_order_replacement,allsides_rank_similarity,0.41,0.18,0.26,0.27,0.1
bigram_inner,mlm,source,sentence_order_replacement,pew_rank_similarity,0.38,0.17,0.19,0.22,0.13
bigram_inner,mlm,source,word_order_replacement,cluster_performance,5.26,4.86,4.78,4.35,5.88
bigram_inner,mlm,source,word_order_replacement,allsides_rank_similarity,0.35,0.15,0.22,0.23,0.08
bigram_inner,mlm,source,word_order_replacement,pew_rank_similarity,0.3,0.2,0.17,0.19,0.07
bigram_inner,mlm_cosdist,trust,span_cutoff,cluster_performance,5.3,5.77,4.57,4.72,6.61
bigram_inner,mlm_cosdist,trust,span_cutoff,allsides_rank_similarity,0.41,0.16,0.25,0.32,0.04
bigram_inner,mlm_cosdist,trust,span_cutoff,pew_rank_similarity,0.32,0.15,0.16,0.26,0.08
bigram_inner,mlm_cosdist,trust,word_order_replacement,cluster_performance,4.83,4.64,4.46,4.15,5.93
bigram_inner,mlm_cosdist,trust,word_order_replacement,allsides_rank_similarity,0.43,0.2,0.26,0.28,0.07
bigram_inner,mlm_cosdist,trust,word_order_replacement,pew_rank_similarity,0.31,0.18,0.16,0.23,0.08
bigram_inner,mlm_cosdist,trust,word_replacement,cluster_performance,4.2,5.17,4.4,4.78,5.73
bigram_inner,mlm_cosdist,trust,word_replacement,allsides_rank_similarity,0.38,0.23,0.25,0.3,0.09
bigram_inner,mlm_cosdist,trust,word_replacement,pew_rank_similarity,0.34,0.23,0.18,0.27,0.15
bigram_inner,mlm_cosdist,trust,sentence_replacement,cluster_performance,4.81,4.55,4.03,4.78,4.86
bigram_inner,mlm_cosdist,trust,sentence_replacement,allsides_rank_similarity,0.42,0.19,0.28,0.27,0.1
bigram_inner,mlm_cosdist,trust,sentence_replacement,pew_rank_similarity,0.35,0.21,0.19,0.25,0.1
bigram_inner,mlm_cosdist,trust,sentence_order_replacement,cluster_performance,5.3,4.55,4.32,4.78,6.11
bigram_inner,mlm_cosdist,trust,sentence_order_replacement,allsides_rank_similarity,0.44,0.18,0.28,0.27,0.11
bigram_inner,mlm_cosdist,trust,sentence_order_replacement,pew_rank_similarity,0.35,0.17,0.2,0.25,0.13
bigram_inner,mlm_cosdist,source,span_cutoff,cluster_performance,5.31,5.99,4.68,4.85,6.7
bigram_inner,mlm_cosdist,source,span_cutoff,allsides_rank_similarity,0.41,0.16,0.25,0.32,0.04
bigram_inner,mlm_cosdist,source,span_cutoff,pew_rank_similarity,0.36,0.18,0.18,0.28,0.05
bigram_inner,mlm_cosdist,source,word_replacement,cluster_performance,4.2,5.32,4.49,4.92,5.81
bigram_inner,mlm_cosdist,source,word_replacement,allsides_rank_similarity,0.38,0.23,0.25,0.3,0.09
bigram_inner,mlm_cosdist,source,word_replacement,pew_rank_similarity,0.36,0.25,0.18,0.28,0.1
bigram_inner,mlm_cosdist,source,word_order_replacement,cluster_performance,4.84,4.76,4.56,4.33,6.04
bigram_inner,mlm_cosdist,source,word_order_replacement,allsides_rank_similarity,0.43,0.2,0.26,0.28,0.07
bigram_inner,mlm_cosdist,source,word_order_replacement,pew_rank_similarity,0.35,0.21,0.19,0.26,0.07
bigram_inner,mlm_cosdist,source,sentence_order_replacement,cluster_performance,5.31,4.68,4.42,4.92,6.25
bigram_inner,mlm_cosdist,source,sentence_order_replacement,allsides_rank_similarity,0.44,0.18,0.28,0.27,0.11
bigram_inner,mlm_cosdist,source,sentence_order_replacement,pew_rank_similarity,0.39,0.16,0.2,0.25,0.08
bigram_inner,mlm_cosdist,source,sentence_replacement,cluster_performance,4.81,4.78,4.1,4.92,4.93
bigram_inner,mlm_cosdist,source,sentence_replacement,allsides_rank_similarity,0.42,0.19,0.28,0.27,0.1
bigram_inner,mlm_cosdist,source,sentence_replacement,pew_rank_similarity,0.36,0.2,0.2,0.24,0.07
bigram_inner,mlm_supercon,trust,word_replacement,cluster_performance,4.83,5.17,4.51,4.7,5.73
bigram_inner,mlm_supercon,trust,word_replacement,allsides_rank_similarity,0.4,0.22,0.28,0.28,0.09
bigram_inner,mlm_supercon,trust,word_replacement,pew_rank_similarity,0.34,0.21,0.17,0.25,0.08
bigram_inner,mlm_supercon,trust,sentence_order_replacement,cluster_performance,5.25,4.55,4.37,4.93,6.37
bigram_inner,mlm_supercon,trust,sentence_order_replacement,allsides_rank_similarity,0.42,0.2,0.26,0.24,0.07
bigram_inner,mlm_supercon,trust,sentence_order_replacement,pew_rank_similarity,0.35,0.21,0.19,0.23,0.13
bigram_inner,mlm_supercon,trust,word_order_replacement,cluster_performance,4.78,5.69,4.57,4.7,6.12
bigram_inner,mlm_supercon,trust,word_order_replacement,allsides_rank_similarity,0.42,0.17,0.29,0.27,0.05
bigram_inner,mlm_supercon,trust,word_order_replacement,pew_rank_similarity,0.3,0.16,0.15,0.25,0.07
bigram_inner,mlm_supercon,trust,span_cutoff,cluster_performance,5.16,4.61,4.27,3.11,6.16
bigram_inner,mlm_supercon,trust,span_cutoff,allsides_rank_similarity,0.41,0.19,0.28,0.25,0.06
bigram_inner,mlm_supercon,trust,span_cutoff,pew_rank_similarity,0.3,0.23,0.2,0.21,0.11
bigram_inner,mlm_supercon,trust,sentence_replacement,cluster_performance,4.98,5.59,4.21,4.2,5.42
bigram_inner,mlm_supercon,trust,sentence_replacement,allsides_rank_similarity,0.45,0.21,0.29,0.29,0.07
bigram_inner,mlm_supercon,trust,sentence_replacement,pew_rank_similarity,0.32,0.23,0.19,0.27,0.15
bigram_inner,mlm_supercon,source,word_replacement,cluster_performance,4.84,5.32,4.62,4.84,5.81
bigram_inner,mlm_supercon,source,word_replacement,allsides_rank_similarity,0.4,0.22,0.28,0.28,0.09
bigram_inner,mlm_supercon,source,word_replacement,pew_rank_similarity,0.38,0.23,0.17,0.26,0.04
bigram_inner,mlm_supercon,source,sentence_order_replacement,cluster_performance,5.26,4.68,4.44,4.96,6.54
bigram_inner,mlm_supercon,source,sentence_order_replacement,allsides_rank_similarity,0.42,0.2,0.26,0.24,0.07
bigram_inner,mlm_supercon,source,sentence_order_replacement,pew_rank_similarity,0.37,0.2,0.17,0.24,0.1
bigram_inner,mlm_supercon,source,span_cutoff,cluster_performance,5.16,4.74,4.32,3.13,6.3
bigram_inner,mlm_supercon,source,span_cutoff,allsides_rank_similarity,0.41,0.19,0.28,0.25,0.06
bigram_inner,mlm_supercon,source,span_cutoff,pew_rank_similarity,0.33,0.24,0.19,0.22,0.08
bigram_inner,mlm_supercon,source,word_order_replacement,cluster_performance,4.78,5.91,4.56,4.84,6.24
bigram_inner,mlm_supercon,source,word_order_replacement,allsides_rank_similarity,0.42,0.17,0.29,0.27,0.05
bigram_inner,mlm_supercon,source,word_order_replacement,pew_rank_similarity,0.33,0.19,0.18,0.26,0.05
bigram_inner,mlm_supercon,source,sentence_replacement,cluster_performance,4.98,5.81,4.3,4.38,5.55
bigram_inner,mlm_supercon,source,sentence_replacement,allsides_rank_similarity,0.45,0.21,0.29,0.29,0.07
bigram_inner,mlm_supercon,source,sentence_replacement,pew_rank_similarity,0.36,0.23,0.18,0.27,0.13
bigram_outer,mlm,trust,span_cutoff,cluster_performance,5.23,4.25,4.42,4.12,5.29
bigram_outer,mlm,trust,span_cutoff,allsides_rank_similarity,0.37,0.28,0.2,0.29,0.13
bigram_outer,mlm,trust,span_cutoff,pew_rank_similarity,0.3,0.32,0.2,0.24,0.17
bigram_outer,mlm,trust,sentence_order_replacement,cluster_performance,3.78,3.46,5.58,4.91,1.57
bigram_outer,mlm,trust,sentence_order_replacement,allsides_rank_similarity,0.44,0.27,0.22,0.19,0.15
bigram_outer,mlm,trust,sentence_order_replacement,pew_rank_similarity,0.42,0.39,0.18,0.26,0.18
bigram_outer,mlm,trust,sentence_replacement,cluster_performance,2.65,3.92,5.29,4.07,6.22
bigram_outer,mlm,trust,sentence_replacement,allsides_rank_similarity,0.4,0.32,0.17,0.26,0.11
bigram_outer,mlm,trust,sentence_replacement,pew_rank_similarity,0.25,0.37,0.13,0.3,0.17
bigram_outer,mlm,trust,duplicate,cluster_performance,5.54,4.88,3.93,4.19,3.73
bigram_outer,mlm,trust,duplicate,allsides_rank_similarity,0.42,0.34,0.34,0.31,0.15
bigram_outer,mlm,trust,duplicate,pew_rank_similarity,0.33,0.32,0.29,0.32,0.15
bigram_outer,mlm,trust,word_order_replacement,cluster_performance,5.22,4.6,5.98,4.88,5.27
bigram_outer,mlm,trust,word_order_replacement,allsides_rank_similarity,0.34,0.24,0.21,0.25,0.23
bigram_outer,mlm,trust,word_order_replacement,pew_rank_similarity,0.29,0.22,0.12,0.19,0.12
bigram_outer,mlm,trust,no_augmentation,cluster_performance,6.0,4.43,5.52,4.91,5.78
bigram_outer,mlm,trust,no_augmentation,allsides_rank_similarity,0.31,0.12,0.28,0.26,0.08
bigram_outer,mlm,trust,no_augmentation,pew_rank_similarity,0.33,0.2,0.23,0.32,0.22
bigram_outer,mlm,trust,word_replacement,cluster_performance,5.92,3.81,5.45,3.34,6.37
bigram_outer,mlm,trust,word_replacement,allsides_rank_similarity,0.39,0.31,0.19,0.27,0.15
bigram_outer,mlm,trust,word_replacement,pew_rank_similarity,0.36,0.3,0.16,0.29,0.2
bigram_outer,mlm,source,span_cutoff,cluster_performance,5.23,4.28,4.42,4.11,5.29
bigram_outer,mlm,source,span_cutoff,allsides_rank_similarity,0.37,0.28,0.2,0.29,0.13
bigram_outer,mlm,source,span_cutoff,pew_rank_similarity,0.31,0.28,0.19,0.26,0.2
bigram_outer,mlm,source,sentence_replacement,cluster_performance,2.72,4.05,5.57,4.21,6.28
bigram_outer,mlm,source,sentence_replacement,allsides_rank_similarity,0.4,0.32,0.17,0.26,0.11
bigram_outer,mlm,source,sentence_replacement,pew_rank_similarity,0.26,0.37,0.15,0.31,0.17
bigram_outer,mlm,source,sentence_order_replacement,cluster_performance,3.77,3.61,5.57,5.03,1.68
bigram_outer,mlm,source,sentence_order_replacement,allsides_rank_similarity,0.44,0.27,0.22,0.19,0.15
bigram_outer,mlm,source,sentence_order_replacement,pew_rank_similarity,0.41,0.35,0.18,0.24,0.21
bigram_outer,mlm,source,word_replacement,cluster_performance,5.72,3.95,5.73,3.45,6.43
bigram_outer,mlm,source,word_replacement,allsides_rank_similarity,0.39,0.31,0.19,0.27,0.15
bigram_outer,mlm,source,word_replacement,pew_rank_similarity,0.36,0.29,0.18,0.3,0.2
bigram_outer,mlm,source,no_augmentation,cluster_performance,6.11,4.61,5.63,5.07,5.87
bigram_outer,mlm,source,no_augmentation,allsides_rank_similarity,0.31,0.12,0.28,0.26,0.08
bigram_outer,mlm,source,no_augmentation,pew_rank_similarity,0.34,0.21,0.27,0.34,0.23
bigram_outer,mlm,source,duplicate,cluster_performance,5.54,5.05,4.05,4.18,3.85
bigram_outer,mlm,source,duplicate,allsides_rank_similarity,0.42,0.34,0.34,0.31,0.15
bigram_outer,mlm,source,duplicate,pew_rank_similarity,0.33,0.28,0.31,0.34,0.2
bigram_outer,mlm,source,word_order_replacement,cluster_performance,5.22,4.81,5.98,5.13,5.27
bigram_outer,mlm,source,word_order_replacement,allsides_rank_similarity,0.34,0.24,0.21,0.25,0.23
bigram_outer,mlm,source,word_order_replacement,pew_rank_similarity,0.28,0.24,0.14,0.18,0.15
bigram_outer,mlm_cosdist,trust,word_order_replacement,cluster_performance,4.84,3.55,5.61,3.83,6.61
bigram_outer,mlm_cosdist,trust,word_order_replacement,allsides_rank_similarity,0.38,0.26,0.21,0.24,0.17
bigram_outer,mlm_cosdist,trust,word_order_replacement,pew_rank_similarity,0.31,0.31,0.12,0.25,0.15
bigram_outer,mlm_cosdist,trust,word_replacement,cluster_performance,4.02,4.71,4.66,4.1,6.52
bigram_outer,mlm_cosdist,trust,word_replacement,allsides_rank_similarity,0.36,0.32,0.24,0.28,0.1
bigram_outer,mlm_cosdist,trust,word_replacement,pew_rank_similarity,0.31,0.39,0.26,0.27,0.17
bigram_outer,mlm_cosdist,trust,span_cutoff,cluster_performance,4.29,3.22,5.29,3.78,5.29
bigram_outer,mlm_cosdist,trust,span_cutoff,allsides_rank_similarity,0.4,0.27,0.2,0.29,0.17
bigram_outer,mlm_cosdist,trust,span_cutoff,pew_rank_similarity,0.3,0.32,0.1,0.26,0.18
bigram_outer,mlm_cosdist,trust,sentence_replacement,cluster_performance,3.38,3.81,5.44,4.1,5.6
bigram_outer,mlm_cosdist,trust,sentence_replacement,allsides_rank_similarity,0.42,0.27,0.32,0.26,0.13
bigram_outer,mlm_cosdist,trust,sentence_replacement,pew_rank_similarity,0.36,0.28,0.19,0.3,0.12
bigram_outer,mlm_cosdist,trust,sentence_order_replacement,cluster_performance,5.48,4.77,5.25,4.05,5.4
bigram_outer,mlm_cosdist,trust,sentence_order_replacement,allsides_rank_similarity,0.41,0.31,0.28,0.27,0.15
bigram_outer,mlm_cosdist,trust,sentence_order_replacement,pew_rank_similarity,0.36,0.32,0.25,0.25,0.2
bigram_outer,mlm_cosdist,source,word_order_replacement,cluster_performance,4.84,3.71,5.61,3.96,6.66
bigram_outer,mlm_cosdist,source,word_order_replacement,allsides_rank_similarity,0.38,0.26,0.21,0.24,0.17
bigram_outer,mlm_cosdist,source,word_order_replacement,pew_rank_similarity,0.28,0.31,0.16,0.27,0.19
bigram_outer,mlm_cosdist,source,word_replacement,cluster_performance,3.93,4.88,4.76,4.09,6.57
bigram_outer,mlm_cosdist,source,word_replacement,allsides_rank_similarity,0.36,0.32,0.24,0.28,0.1
bigram_outer,mlm_cosdist,source,word_replacement,pew_rank_similarity,0.31,0.36,0.24,0.28,0.16
bigram_outer,mlm_cosdist,source,span_cutoff,cluster_performance,4.28,3.36,5.57,3.89,5.29
bigram_outer,mlm_cosdist,source,span_cutoff,allsides_rank_similarity,0.4,0.27,0.2,0.29,0.17
bigram_outer,mlm_cosdist,source,span_cutoff,pew_rank_similarity,0.3,0.34,0.12,0.28,0.22
bigram_outer,mlm_cosdist,source,sentence_replacement,cluster_performance,3.29,3.94,5.65,4.17,5.61
bigram_outer,mlm_cosdist,source,sentence_replacement,allsides_rank_similarity,0.42,0.27,0.32,0.26,0.13
bigram_outer,mlm_cosdist,source,sentence_replacement,pew_rank_similarity,0.34,0.26,0.19,0.28,0.12
bigram_outer,mlm_cosdist,source,sentence_order_replacement,cluster_performance,5.67,4.93,5.53,4.15,5.41
bigram_outer,mlm_cosdist,source,sentence_order_replacement,allsides_rank_similarity,0.41,0.31,0.28,0.27,0.15
bigram_outer,mlm_cosdist,source,sentence_order_replacement,pew_rank_similarity,0.36,0.29,0.23,0.27,0.2
bigram_outer,mlm_supercon,trust,span_cutoff,cluster_performance,5.36,3.02,5.29,5.37,4.87
bigram_outer,mlm_supercon,trust,span_cutoff,allsides_rank_similarity,0.35,0.3,0.19,0.23,0.13
bigram_outer,mlm_supercon,trust,span_cutoff,pew_rank_similarity,0.32,0.34,0.18,0.24,0.13
bigram_outer,mlm_supercon,trust,sentence_order_replacement,cluster_performance,5.45,3.1,5.35,5.33,6.35
bigram_outer,mlm_supercon,trust,sentence_order_replacement,allsides_rank_similarity,0.43,0.31,0.25,0.26,0.2
bigram_outer,mlm_supercon,trust,sentence_order_replacement,pew_rank_similarity,0.32,0.35,0.2,0.27,0.29
bigram_outer,mlm_supercon,trust,word_replacement,cluster_performance,2.8,4.59,4.68,4.25,5.12
bigram_outer,mlm_supercon,trust,word_replacement,allsides_rank_similarity,0.4,0.26,0.29,0.26,0.2
bigram_outer,mlm_supercon,trust,word_replacement,pew_rank_similarity,0.4,0.28,0.27,0.27,0.17
bigram_outer,mlm_supercon,trust,word_order_replacement,cluster_performance,4.69,4.72,5.77,5.82,6.58
bigram_outer,mlm_supercon,trust,word_order_replacement,allsides_rank_similarity,0.35,0.23,0.18,0.27,0.18
bigram_outer,mlm_supercon,trust,word_order_replacement,pew_rank_similarity,0.27,0.24,0.12,0.25,0.15
bigram_outer,mlm_supercon,trust,sentence_replacement,cluster_performance,2.87,3.61,4.84,3.86,5.01
bigram_outer,mlm_supercon,trust,sentence_replacement,allsides_rank_similarity,0.44,0.21,0.25,0.31,0.17
bigram_outer,mlm_supercon,trust,sentence_replacement,pew_rank_similarity,0.36,0.27,0.24,0.32,0.18
bigram_outer,mlm_supercon,source,span_cutoff,cluster_performance,5.35,3.11,5.57,5.38,5.01
bigram_outer,mlm_supercon,source,span_cutoff,allsides_rank_similarity,0.35,0.3,0.19,0.23,0.13
bigram_outer,mlm_supercon,source,span_cutoff,pew_rank_similarity,0.32,0.34,0.18,0.28,0.16
bigram_outer,mlm_supercon,source,word_replacement,cluster_performance,2.91,4.72,4.79,4.24,5.17
bigram_outer,mlm_supercon,source,word_replacement,allsides_rank_similarity,0.4,0.26,0.29,0.26,0.2
bigram_outer,mlm_supercon,source,word_replacement,pew_rank_similarity,0.4,0.29,0.25,0.3,0.2
bigram_outer,mlm_supercon,source,word_order_replacement,cluster_performance,4.69,4.84,5.77,5.83,6.58
bigram_outer,mlm_supercon,source,word_order_replacement,allsides_rank_similarity,0.35,0.23,0.18,0.27,0.18
bigram_outer,mlm_supercon,source,word_order_replacement,pew_rank_similarity,0.27,0.26,0.15,0.28,0.2
bigram_outer,mlm_supercon,source,sentence_order_replacement,cluster_performance,5.45,3.23,5.63,5.34,6.36
bigram_outer,mlm_supercon,source,sentence_order_replacement,allsides_rank_similarity,0.43,0.31,0.25,0.26,0.2
bigram_outer,mlm_supercon,source,sentence_order_replacement,pew_rank_similarity,0.32,0.34,0.2,0.28,0.29
bigram_outer,mlm_supercon,source,sentence_replacement,cluster_performance,2.82,3.75,4.97,4.03,5.1
bigram_outer,mlm_supercon,source,sentence_replacement,allsides_rank_similarity,0.44,0.21,0.25,0.31,0.17
bigram_outer,mlm_supercon,source,sentence_replacement,pew_rank_similarity,0.36,0.26,0.24,0.33,0.21
random,mlm,trust,duplicate,cluster_performance,4.84,5.77,3.63,3.19,4.19
random,mlm,trust,duplicate,allsides_rank_similarity,0.32,0.25,0.33,0.36,0.18
random,mlm,trust,duplicate,pew_rank_similarity,0.32,0.27,0.28,0.33,0.2
random,mlm,trust,word_order_replacement,cluster_performance,5.3,4.66,5.64,4.0,6.24
random,mlm,trust,word_order_replacement,allsides_rank_similarity,0.35,0.21,0.27,0.29,0.25
random,mlm,trust,word_order_replacement,pew_rank_similarity,0.28,0.22,0.16,0.24,0.19
random,mlm,trust,span_cutoff,cluster_performance,4.81,4.07,4.08,4.2,4.1
random,mlm,trust,span_cutoff,allsides_rank_similarity,0.38,0.25,0.29,0.3,0.16
random,mlm,trust,span_cutoff,pew_rank_similarity,0.33,0.25,0.23,0.26,0.19
random,mlm,trust,sentence_order_replacement,cluster_performance,5.26,4.74,3.71,5.28,3.96
random,mlm,trust,sentence_order_replacement,allsides_rank_similarity,0.4,0.23,0.31,0.26,0.19
random,mlm,trust,sentence_order_replacement,pew_rank_similarity,0.34,0.27,0.24,0.29,0.21
random,mlm,trust,no_augmentation,cluster_performance,5.56,4.74,4.55,4.97,5.03
random,mlm,trust,no_augmentation,allsides_rank_similarity,0.3,0.11,0.3,0.27,0.16
random,mlm,trust,no_augmentation,pew_rank_similarity,0.3,0.14,0.26,0.32,0.21
random,mlm,trust,sentence_replacement,cluster_performance,5.26,4.23,4.31,3.47,6.0
random,mlm,trust,sentence_replacement,allsides_rank_similarity,0.35,0.27,0.32,0.34,0.19
random,mlm,trust,sentence_replacement,pew_rank_similarity,0.33,0.29,0.25,0.29,0.19
random,mlm,trust,word_replacement,cluster_performance,3.68,4.48,4.08,2.57,5.89
random,mlm,trust,word_replacement,allsides_rank_similarity,0.39,0.2,0.3,0.32,0.17
random,mlm,trust,word_replacement,pew_rank_similarity,0.36,0.2,0.25,0.29,0.17
random,mlm,source,duplicate,cluster_performance,4.83,5.96,3.72,3.3,4.29
random,mlm,source,duplicate,allsides_rank_similarity,0.32,0.25,0.33,0.36,0.18
random,mlm,source,duplicate,pew_rank_similarity,0.3,0.24,0.24,0.33,0.16
random,mlm,source,word_order_replacement,cluster_performance,5.31,4.86,5.65,4.01,6.25
random,mlm,source,word_order_replacement,allsides_rank_similarity,0.35,0.21,0.27,0.29,0.25
random,mlm,source,word_order_replacement,pew_rank_similarity,0.28,0.21,0.16,0.24,0.18
random,mlm,source,span_cutoff,cluster_performance,4.81,4.21,4.14,4.37,4.19
random,mlm,source,span_cutoff,allsides_rank_similarity,0.38,0.25,0.29,0.3,0.16
random,mlm,source,span_cutoff,pew_rank_similarity,0.32,0.24,0.19,0.24,0.17
random,mlm,source,no_augmentation,cluster_performance,5.57,4.88,4.72,5.03,5.12
random,mlm,source,no_augmentation,allsides_rank_similarity,0.3,0.11,0.3,0.27,0.16
random,mlm,source,no_augmentation,pew_rank_similarity,0.3,0.12,0.28,0.28,0.16
random,mlm,source,sentence_order_replacement,cluster_performance,5.26,4.88,3.81,5.45,4.08
random,mlm,source,sentence_order_replacement,allsides_rank_similarity,0.4,0.23,0.31,0.26,0.19
random,mlm,source,sentence_order_replacement,pew_rank_similarity,0.35,0.24,0.21,0.25,0.19
random,mlm,source,sentence_replacement,cluster_performance,5.26,4.4,4.42,3.64,6.19
random,mlm,source,sentence_replacement,allsides_rank_similarity,0.35,0.27,0.32,0.34,0.19
random,mlm,source,sentence_replacement,pew_rank_similarity,0.31,0.25,0.21,0.3,0.17
random,mlm,source,word_replacement,cluster_performance,3.78,4.61,4.14,2.7,6.0
random,mlm,source,word_replacement,allsides_rank_similarity,0.39,0.2,0.3,0.32,0.17
random,mlm,source,word_replacement,pew_rank_similarity,0.35,0.18,0.23,0.25,0.15
random,mlm_cosdist,trust,word_order_replacement,cluster_performance,5.26,4.48,5.18,5.4,5.92
random,mlm_cosdist,trust,word_order_replacement,allsides_rank_similarity,0.38,0.25,0.29,0.36,0.16
random,mlm_cosdist,trust,word_order_replacement,pew_rank_similarity,0.29,0.22,0.2,0.29,0.14
random,mlm_cosdist,trust,word_replacement,cluster_performance,2.82,4.54,4.26,3.55,6.23
random,mlm_cosdist,trust,word_replacement,allsides_rank_similarity,0.38,0.22,0.3,0.32,0.17
random,mlm_cosdist,trust,word_replacement,pew_rank_similarity,0.35,0.25,0.23,0.3,0.23
random,mlm_cosdist,trust,sentence_order_replacement,cluster_performance,5.3,4.57,3.43,5.44,6.07
